M001,Qualifiers,P002,P004,P002,Completed,0,1230,0,20200909,0
M002,Qualifiers,P003,P016,P016,Completed,0,1300,0,20200909,0
M003,Qualifiers,P005,P015,P015,Completed,0,1330,0,20200909,0
M004,Qualifiers,P006,P014,P006,Completed,0,1400,0,20200909,0
M005,Qualifiers,P001,P013,P001,Completed,0,1430,0,20200909,0
M006,Qualifiers,P007,P012,P007,Completed,0,1500,0,20200909,0
M007,Qualifiers,P008,P011,P008,Completed,0,1530,0,20200909,0
M008,Qualifiers,P009,P010,P009,Completed,0,1600,0,20200909,0
M009,Group,P002,P006,P002,Completed,0,1630,0,20200909,7935736
M010,Group,P002,P001,P002,Completed,0,1700,0,20200909,7935736
M011,Group,P002,P009,P002,Completed,0,1730,0,20200909,7935736
M012,Group,P006,P001,P006,Completed,0,1800,0,20200909,7935736
M013,Group,P006,P009,P006,Completed,0,1830,0,20200909,7935736
M014,Group,P001,P009,P001,Completed,0,1900,0,20200909,7935736
M015,Group,P007,P008,P007,Completed,1,1630,0,20200909,7935736
M016,Group,P007,P015,P007,Completed,1,1700,0,20200909,7935736
M017,Group,P007,P016,P007,Completed,1,1730,0,20200909,7935736
M018,Group,P008,P015,P008,Completed,1,1800,0,20200909,7935736
M019,Group,P008,P016,P008,Completed,1,1830,0,20200909,7935736
M020,Group,P015,P016,P015,Completed,1,1900,0,20200909,7935736
M001,Knockout,P002,P008,P002,Completed,0,1200,0,20200909,22
M002,Knockout,P006,P007,P006,Completed,0,1230,0,20200909,22
M003,Knockout,P002,P006,P002,Completed,0,1300,0,20200909,-1
