P002,Alice,APU,2,active,3,3,1
P003,Bob,APU,3,eliminated,0,0,0
P005,Dan,APU,5,eliminated,0,0,0
P006,Eve,APU,6,eliminated,3,2,1
P001,John,APU,10,eliminated,3,1,1
P007,Lim Yu Xuan,APU,17,eliminated,3,3,2
P008,Grace,APU,18,eliminated,3,2,2
P009,Hannah,APU,20,eliminated,3,0,1
P010,Ian,APU,23,eliminated,0,0,0
P011,Jane,APU,25,eliminated,0,0,0
P012,Kyle,APU,28,eliminated,0,0,0
P013,Linda,APU,30,eliminated,0,0,0
P014,Mike,APU,32,eliminated,0,0,0
P015,Nina,APU,35,eliminated,3,1,2
P016,Owen,APU,40,eliminated,3,0,2
P004,Carol,APU,42,eliminated,0,0,0
